Data;Hora;NEBULOSIDADE;PRECIPITACAO TOTAL;PRESSAO;TEMP DO AR BULBO SECO;TEMP DO AR BULBO UMIDO;TEMP DO PONTO DE ORVALHO;UMIDADE;VELOCIDADE DO VENTO
01/01/2000;00:00;5;.3;null;26.2;24.8;null;88;5
01/01/2000;12:00;null;null;null;null;null;null;null;null
01/01/2000;18:00;null;null;null;null;null;null;null;null
02/01/2000;00:00;null;null;null;null;null;null;null;null
02/01/2000;12:00;null;null;null;null;null;null;null;null
02/01/2000;18:00;null;null;null;null;null;null;null;null
03/01/2000;00:00;null;null;null;null;null;null;null;null
03/01/2000;12:00;null;null;null;null;null;null;null;null
03/01/2000;18:00;null;null;null;null;null;null;null;null
04/01/2000;00:00;null;null;null;null;null;null;null;null
04/01/2000;12:00;null;null;null;null;null;null;null;null
04/01/2000;18:00;null;null;null;null;null;null;null;null
05/01/2000;00:00;null;null;null;null;null;null;null;null
05/01/2000;12:00;null;null;null;null;null;null;null;null
05/01/2000;18:00;null;null;null;null;null;null;null;null
06/01/2000;00:00;null;null;null;null;null;null;null;null
06/01/2000;12:00;null;null;null;null;null;null;null;null
06/01/2000;18:00;null;null;null;null;null;null;null;null
07/01/2000;00:00;null;null;null;null;null;null;null;null
07/01/2000;12:00;null;null;null;null;null;null;null;null
07/01/2000;18:00;null;null;null;null;null;null;null;null
08/01/2000;00:00;null;null;null;null;null;null;null;null
08/01/2000;12:00;null;null;null;null;null;null;null;null
08/01/2000;18:00;null;null;null;null;null;null;null;null
09/01/2000;00:00;null;null;null;null;null;null;null;null
09/01/2000;12:00;null;null;null;null;null;null;null;null
09/01/2000;18:00;null;null;null;null;null;null;null;null
10/01/2000;00:00;null;null;null;null;null;null;null;null
10/01/2000;12:00;null;null;null;null;null;null;null;null
10/01/2000;18:00;null;null;null;null;null;null;null;null
11/01/2000;00:00;null;null;null;null;null;null;null;null
11/01/2000;12:00;null;null;null;null;null;null;null;null
11/01/2000;18:00;null;null;null;null;null;null;null;null
12/01/2000;00:00;null;null;null;null;null;null;null;null
12/01/2000;12:00;null;null;null;null;null;null;null;null
12/01/2000;18:00;null;null;null;null;null;null;null;null
13/01/2000;00:00;null;null;null;null;null;null;null;null
13/01/2000;12:00;null;null;null;null;null;null;null;null
13/01/2000;18:00;null;null;null;null;null;null;null;null
14/01/2000;00:00;null;null;null;null;null;null;null;null
14/01/2000;12:00;null;null;null;null;null;null;null;null
14/01/2000;18:00;null;null;null;null;null;null;null;null
15/01/2000;00:00;null;null;null;null;null;null;null;null
15/01/2000;12:00;null;null;null;null;null;null;null;null
15/01/2000;18:00;null;null;null;null;null;null;null;null
16/01/2000;00:00;null;null;null;null;null;null;null;null
16/01/2000;12:00;null;null;null;null;null;null;null;null
16/01/2000;18:00;null;null;null;null;null;null;null;null
17/01/2000;00:00;null;null;null;null;null;null;null;null
17/01/2000;12:00;null;null;null;null;null;null;null;null
17/01/2000;18:00;null;null;null;null;null;null;null;null
18/01/2000;00:00;null;null;null;null;null;null;null;null
18/01/2000;12:00;null;null;null;null;null;null;null;null
18/01/2000;18:00;null;null;null;null;null;null;null;null
19/01/2000;00:00;null;null;null;null;null;null;null;null
